"Entity","Code","Year","Period_Life_Expectancy"
"United States","USA",1901,49.3
"United States","USA",1902,50.5
"United States","USA",1903,50.6
"United States","USA",1904,49.6
"United States","USA",1905,50.3
"United States","USA",1906,50.1
"United States","USA",1907,50.2
"United States","USA",1908,51.9
"United States","USA",1909,52.8
"United States","USA",1910,51.8
"United States","USA",1911,53.4
"United States","USA",1912,54.1
"United States","USA",1913,53.5
"United States","USA",1914,54.6
"United States","USA",1915,55.1
"United States","USA",1916,54.2
"United States","USA",1917,54
"United States","USA",1918,47.2
"United States","USA",1919,55.3
"United States","USA",1920,55.4
"United States","USA",1921,58.2
"United States","USA",1922,58.1
"United States","USA",1923,57.5
"United States","USA",1924,58.5
"United States","USA",1925,58.5
"United States","USA",1926,57.9
"United States","USA",1927,59.4
"United States","USA",1928,58.3
"United States","USA",1929,58.5
"United States","USA",1930,59.6
"United States","USA",1931,60.3
"United States","USA",1932,61
"United States","USA",1933,60.9
"United States","USA",1934,60.19
"United States","USA",1935,60.91
"United States","USA",1936,60.35
"United States","USA",1937,61.03
"United States","USA",1938,62.39
"United States","USA",1939,63.07
"United States","USA",1940,63.22
"United States","USA",1941,63.79
"United States","USA",1942,64.54
"United States","USA",1943,64.36
"United States","USA",1944,65.06
"United States","USA",1945,65.59
"United States","USA",1946,66.13
"United States","USA",1947,66.8
"United States","USA",1948,67.22
"United States","USA",1949,67.63
"United States","USA",1950,68.0669
"United States","USA",1952,68.38
"United States","USA",1954,69.4996
"United States","USA",1956,69.643
"United States","USA",1958,69.6733
"United States","USA",1960,69.8293
"United States","USA",1962,70.1162
"United States","USA",1964,70.1993
"United States","USA",1966,70.21
"United States","USA",1968,70.2004
"United States","USA",1970,70.7343
"United States","USA",1972,71.1779
"United States","USA",1974,71.9592
"United States","USA",1976,72.8448
"United States","USA",1978,73.4091
"United States","USA",1980,73.73
"United States","USA",1982,74.4635
"United States","USA",1984,74.6747
"United States","USA",1986,74.7284
"United States","USA",1988,74.8333
"United States","USA",1990,75.3743
"United States","USA",1992,75.779
"United States","USA",1994,75.7381
"United States","USA",1996,76.1749
"United States","USA",1998,76.6592
"United States","USA",2000,76.8058
"United States","USA",2002,76.9883
"United States","USA",2004,77.535
"United States","USA",2006,77.7976
"United States","USA",2008,78.1273
"United States","USA",2010,78.6681
"United States","USA",2012,78.8169
"United States","USA",2014,78.8785
"United States","USA",2016,78.686
"United States","USA",2018,78.7997
"United States","USA",2020,77.0115
"United States","USA",2022,77.9789
