Entity	Code	Year	Period_Life_Expectancy
38	United States	USA	1901	49.3
58	United States	USA	1902	50.5
76	United States	USA	1903	50.6
92	United States	USA	1904	49.6
107	United States	USA	1905	50.3
130	United States	USA	1906	50.1
146	United States	USA	1907	50.2
163	United States	USA	1908	51.9
182	United States	USA	1909	52.8
199	United States	USA	1910	51.8
229	United States	USA	1911	53.4
251	United States	USA	1912	54.1
267	United States	USA	1913	53.5
286	United States	USA	1914	54.6
300	United States	USA	1915	55.1
320	United States	USA	1916	54.2
334	United States	USA	1917	54
349	United States	USA	1918	47.2
366	United States	USA	1919	55.3
382	United States	USA	1920	55.4
415	United States	USA	1921	58.2
442	United States	USA	1922	58.1
465	United States	USA	1923	57.5
489	United States	USA	1924	58.5
510	United States	USA	1925	58.5
536	United States	USA	1926	57.9
561	United States	USA	1927	59.4
588	United States	USA	1928	58.3
611	United States	USA	1929	58.5
633	United States	USA	1930	59.6
674	United States	USA	1931	60.3
701	United States	USA	1932	61
726	United States	USA	1933	60.9
749	United States	USA	1934	60.19
771	United States	USA	1935	60.91
800	United States	USA	1936	60.35
822	United States	USA	1937	61.03
854	United States	USA	1938	62.39
878	United States	USA	1939	63.07
901	United States	USA	1940	63.22
943	United States	USA	1941	63.79
970	United States	USA	1942	64.54
997	United States	USA	1943	64.36
1021	United States	USA	1944	65.06
1044	United States	USA	1945	65.59
1073	United States	USA	1946	66.13
1100	United States	USA	1947	66.8
1130	United States	USA	1948	67.22
1158	United States	USA	1949	67.63
1201	United States	USA	1950	68.0669
1439	United States	USA	1952	68.38
1677	United States	USA	1954	69.4996
1915	United States	USA	1956	69.643
2153	United States	USA	1958	69.6733
2391	United States	USA	1960	69.8293
2629	United States	USA	1962	70.1162
2867	United States	USA	1964	70.1993
3105	United States	USA	1966	70.21
3343	United States	USA	1968	70.2004
3581	United States	USA	1970	70.7343
3819	United States	USA	1972	71.1779
4057	United States	USA	1974	71.9592
4295	United States	USA	1976	72.8448
4533	United States	USA	1978	73.4091
4771	United States	USA	1980	73.73
5009	United States	USA	1982	74.4635
5247	United States	USA	1984	74.6747
5485	United States	USA	1986	74.7284
5723	United States	USA	1988	74.8333
5961	United States	USA	1990	75.3743
6199	United States	USA	1992	75.779
6437	United States	USA	1994	75.7381
6675	United States	USA	1996	76.1749
6913	United States	USA	1998	76.6592
7151	United States	USA	2000	76.8058
7389	United States	USA	2002	76.9883
7627	United States	USA	2004	77.535
7865	United States	USA	2006	77.7976
8103	United States	USA	2008	78.1273
8341	United States	USA	2010	78.6681
8579	United States	USA	2012	78.8169
8817	United States	USA	2014	78.8785
9055	United States	USA	2016	78.686
9293	United States	USA	2018	78.7997
9531	United States	USA	2020	77.0115
9769	United States	USA	2022	77.9789
