"","gender","event","medal","abb","country","grp_id","type","year","guide"
"1","Women","Double FITA Round Amputee","Gold","NOR",NA,NA,"Archery",1980,NA
"2","Women","Double FITA Round Amputee","Silver","POL",NA,NA,"Archery",1980,NA
"3","Women","Double FITA Round Amputee","Bronze","FRA",NA,NA,"Archery",1980,NA
"4","Women","Double FITA Round Paraplegic","Gold","NZL",NA,NA,"Archery",1980,NA
"5","Women","Double FITA Round Paraplegic","Silver","FIN",NA,NA,"Archery",1980,NA
"6","Women","Double FITA Round Paraplegic","Bronze","FRG",NA,NA,"Archery",1980,NA
"7","Women","Double FITA Round Novice Paraplegic","Gold","JPN",NA,NA,"Archery",1980,NA
"8","Women","Short Metric Round Paraplegic","Gold","AUT",NA,NA,"Archery",1980,NA
"9","Women","Short Metric Round Paraplegic","Silver","GBR",NA,NA,"Archery",1980,NA
"10","Women","Advanced Metric Round Paraplegic","Gold","USA",NA,NA,"Archery",1980,NA
"11","Women","Advanced Metric Round Paraplegic","Silver","NZL",NA,NA,"Archery",1980,NA
"12","Women","Advanced Metric Round Paraplegic","Bronze","GBR",NA,NA,"Archery",1980,NA
"13","Women","Double FITA Round Div. 3","Gold","GBR",NA,NA,"Archery",1984,NA
"14","Women","Double FITA Round Div. 3","Silver","GBR",NA,NA,"Archery",1984,NA
"15","Women","Double FITA Round Integrated","Gold","FRG",NA,NA,"Archery",1984,NA
"16","Women","Double FITA Round Integrated","Silver","BEL",NA,NA,"Archery",1984,NA
"17","Women","Double FITA Round Integrated","Bronze","ITA",NA,NA,"Archery",1984,NA
"18","Women","Double FITA Round Paraplegic","Gold","USA",NA,NA,"Archery",1984,NA
"19","Women","Double FITA Round Paraplegic","Silver","JPN",NA,NA,"Archery",1984,NA
"20","Women","Double FITA Round Paraplegic","Bronze","AUS",NA,NA,"Archery",1984,NA
"21","Women","Double Short Metric Round Paraplegic","Gold","FRA",NA,NA,"Archery",1984,NA
"22","Women","Double Short Metric Round Paraplegic","Silver","AUT",NA,NA,"Archery",1984,NA
"23","Women","Double Short Metric Round Paraplegic","Bronze","GBR",NA,NA,"Archery",1984,NA
"24","Women","Double FITA Round Open","Gold","KOR",NA,NA,"Archery",1988,NA
"25","Women","Double FITA Round Open","Silver","FRG",NA,NA,"Archery",1988,NA
"26","Women","Double FITA Round Open","Bronze","DEN",NA,NA,"Archery",1988,NA
"27","Women","Double FITA Round 2-6","Gold","GBR",NA,NA,"Archery",1988,NA
"28","Women","Double FITA Round 2-6","Silver","FIN",NA,NA,"Archery",1988,NA
"29","Women","Double FITA Round 2-6","Bronze","ITA",NA,NA,"Archery",1988,NA
"30","Women","Double FITA Round Team 2-6","Gold","GBR","Great Britain",2,"Archery",1988,NA
"31","Women","Double FITA Round Team 2-6","Gold","GBR","Great Britain",3,"Archery",1988,NA
"32","Women","Double FITA Round Team 2-6","Silver","FRG","FR Germany",2,"Archery",1988,NA
"33","Women","Double FITA Round Team 2-6","Silver","FRG","FR Germany",3,"Archery",1988,NA
"34","Women","Double FITA Round Team 2-6","Bronze","FIN","Finland",2,"Archery",1988,NA
"35","Women","Double FITA Round Team 2-6","Bronze","FIN","Finland",3,"Archery",1988,NA
"36","Women","Individual AR2","Gold","ITA",NA,NA,"Archery",1992,NA
"37","Women","Individual AR2","Silver","FIN",NA,NA,"Archery",1992,NA
"38","Women","Individual AR2","Bronze","JPN",NA,NA,"Archery",1992,NA
"39","Women","Individual Open","Gold","EUN",NA,NA,"Archery",1992,NA
"40","Women","Individual Open","Silver","SWE",NA,NA,"Archery",1992,NA
