"","gender","event","medal","athlete","abb","country","grp_id","type","year","guide"
"1","Men","Double FITA Round Amputee","Gold","LARSEN Finn","DEN",NA,NA,"Archery",1980,NA
"2","Men","Double FITA Round Amputee","Silver","BRENNE Manfred","FRG",NA,NA,"Archery",1980,NA
"3","Men","Double FITA Round Amputee","Bronze","SATO Masao","JPN",NA,NA,"Archery",1980,NA
"4","Men","Double FITA Round Paraplegic","Gold","GEISS H.","FRG",NA,NA,"Archery",1980,NA
"5","Men","Double FITA Round Paraplegic","Silver","GRUN Guy","BEL",NA,NA,"Archery",1980,NA
"6","Men","Double FITA Round Paraplegic","Bronze","BUCHANAN J.","GBR",NA,NA,"Archery",1980,NA
"7","Men","Double FITA Round Tetraplegic","Gold","PARKER T.","CAN",NA,NA,"Archery",1980,NA
"8","Men","Double FITA Round Tetraplegic","Silver","STEBEKK Oddbjorn","NOR",NA,NA,"Archery",1980,NA
"9","Men","Double FITA Round Tetraplegic","Bronze","LAFONT G.","FRA",NA,NA,"Archery",1980,NA
"10","Men","Double FITA Round Novice Paraplegic","Gold","CHAVEZ Alfredo","MEX",NA,NA,"Archery",1980,NA
"11","Men","Double FITA Round Novice Paraplegic","Silver","WALSTRA Jappie","NED",NA,NA,"Archery",1980,NA
"12","Men","Double FITA Round Novice Paraplegic","Bronze","VAN DER LIEFVOORT H.","NED",NA,NA,"Archery",1980,NA
"13","Men","Double FITA Round Novice Tetraplegic","Gold","KARKAINEN K.","FIN",NA,NA,"Archery",1980,NA
"14","Men","Double FITA Round Novice Tetraplegic","Silver","KISHINO Tadashi","JPN",NA,NA,"Archery",1980,NA
"15","Men","Double FITA Round Novice Tetraplegic","Bronze","ANDERSSON-TANNERSTAD Kent","SWE",NA,NA,"Archery",1980,NA
"16","Men","Short Metric Round Paraplegic","Gold","CHAPUIS J. M.","FRA",NA,NA,"Archery",1980,NA
"17","Men","Short Metric Round Paraplegic","Silver","ZEISE L.","USA",NA,NA,"Archery",1980,NA
"18","Men","Short Metric Round Paraplegic","Bronze","THION J.","FRA",NA,NA,"Archery",1980,NA
"19","Men","Short Metric Round Tetraplegic","Gold","HENKER Siegmar","FRG",NA,NA,"Archery",1980,NA
"20","Men","Short Metric Round Tetraplegic","Silver","TREWHELLA Ian","AUS",NA,NA,"Archery",1980,NA
"21","Men","Short Metric Round Tetraplegic","Bronze","KRISTIANSEN Svein","NOR",NA,NA,"Archery",1980,NA
"22","Men","Advanced Metric Round Paraplegic","Gold","KIM Yoon Bae","KOR",NA,NA,"Archery",1980,NA
"23","Men","Advanced Metric Round Paraplegic","Silver","PETSCHNIG M.","AUT",NA,NA,"Archery",1980,NA
"24","Men","Advanced Metric Round Paraplegic","Bronze","LETTNER Felix","AUT",NA,NA,"Archery",1980,NA
"25","Women","Double FITA Round Amputee","Gold","ROSVIK Marie","NOR",NA,NA,"Archery",1980,NA
"26","Women","Double FITA Round Amputee","Silver","KWIECINSKA Ewa","POL",NA,NA,"Archery",1980,NA
"27","Women","Double FITA Round Amputee","Bronze","HYBOIS Marie-Francoise","FRA",NA,NA,"Archery",1980,NA
"28","Women","Double FITA Round Paraplegic","Gold","FAIRHALL Neroli","NZL",NA,NA,"Archery",1980,NA
"29","Women","Double FITA Round Paraplegic","Silver","KORVA Elli","FIN",NA,NA,"Archery",1980,NA
"30","Women","Double FITA Round Paraplegic","Bronze","DERSEN Anneliese","FRG",NA,NA,"Archery",1980,NA
"31","Women","Double FITA Round Novice Paraplegic","Gold","OHMAE Chiyoko","JPN",NA,NA,"Archery",1980,NA
"32","Women","Double FITA Round Novice Paraplegic","Silver","-",NA,NA,NA,"Archery",1980,NA
"33","Women","Double FITA Round Novice Paraplegic","Bronze","-",NA,NA,NA,"Archery",1980,NA
"34","Women","Short Metric Round Paraplegic","Gold","SCHWEIZER Rosa","AUT",NA,NA,"Archery",1980,NA
"35","Women","Short Metric Round Paraplegic","Silver","WILLIAMSON Valerie","GBR",NA,NA,"Archery",1980,NA
"36","Women","Short Metric Round Paraplegic","Bronze","-",NA,NA,NA,"Archery",1980,NA
"37","Women","Advanced Metric Round Paraplegic","Gold","UNSICKER K.","USA",NA,NA,"Archery",1980,NA
"38","Women","Advanced Metric Round Paraplegic","Silver","RIMMER Eve M.","NZL",NA,NA,"Archery",1980,NA
"39","Women","Advanced Metric Round Paraplegic","Bronze","MATTHEWS G.","GBR",NA,NA,"Archery",1980,NA
"40","Men","Double FITA Round Team Amputee","Gold","BRENNE Manfred","FRG","FR Germany",1,"Archery",1980,NA
"41","Men","Double FITA Round Team Amputee","Gold","BUTENHOFF Hilmar","FRG","FR Germany",2,"Archery",1980,NA
"42","Men","Double FITA Round Team Amputee","Gold","POHL K.","FRG","FR Germany",3,"Archery",1980,NA
"43","Men","Double FITA Round Team Amputee","Silver","APPELKVIST Sune","SWE","Sweden",1,"Archery",1980,NA
"44","Men","Double FITA Round Team Amputee","Silver","BABKIN Nicolai","SWE","Sweden",2,"Archery",1980,NA
"45","Men","Double FITA Round Team Amputee","Silver","CARSSON Jan O.","SWE","Sweden",3,"Archery",1980,NA
"46","Men","Double FITA Round Team Amputee","Bronze",NA,NA,"-",1,"Archery",1980,NA
"47","Men","Double FITA Round Team Paraplegic","Gold","BARDOEL Filip","BEL","Belgium",1,"Archery",1980,NA
